Date	Open	High	Low	Close
12/20/2017	1190.5	1191	1176	1177.619995
12/21/2017	1175.900024	1179.170044	1167.640015	1174.76001
12/22/2017	1172.079956	1174.619995	1167.829956	1168.359985
12/26/2017	1168.359985	1178.319946	1160.550049	1176.76001
12/27/2017	1179.910034	1187.290039	1175.609985	1182.26001
12/28/2017	1189	1190.099976	1184.380005	1186.099976
12/29/2017	1182.349976	1184	1167.5	1169.469971
1/2/2018	1172	1190	1170.51001	1189.01001
1/3/2018	1188.300049	1205.48999	1188.300049	1204.199951
1/4/2018	1205	1215.869995	1204.660034	1209.589966
1/5/2018	1217.51001	1229.140015	1210	1229.140015
1/8/2018	1236	1253.079956	1232.030029	1246.869995
1/9/2018	1256.900024	1259.329956	1241.76001	1252.699951
1/10/2018	1245.150024	1254.329956	1237.22998	1254.329956
1/11/2018	1259.73999	1276.77002	1256.459961	1276.680054
1/12/2018	1273.390015	1305.76001	1273.390015	1305.199951
1/16/2018	1323	1339.939941	1292.300049	1304.859985
1/17/2018	1312.23999	1314	1280.880005	1295
1/18/2018	1293.949951	1304.599976	1284.02002	1293.319946
1/19/2018	1312	1313	1292.98999	1294.579956
1/22/2018	1297.170044	1327.449951	1296.660034	1327.310059
1/23/2018	1338.089966	1364.900024	1337.339966	1362.540039
1/24/2018	1374.819946	1388.160034	1338	1357.51001
1/25/2018	1368	1378.339966	1357.619995	1377.949951
1/26/2018	1392.01001	1402.530029	1380.910034	1402.050049
1/29/2018	1409.180054	1431.390015	1400.439941	1417.680054
1/30/2018	1403.170044	1439.25	1392	1437.819946
1/31/2018	1451.300049	1472.579956	1450.040039	1450.890015
2/1/2018	1445	1459.880005	1385.140015	1390
2/2/2018	1477.390015	1498	1414	1429.949951
2/5/2018	1402.619995	1458.97998	1320.719971	1390
2/6/2018	1361.459961	1443.98999	1351.790039	1442.839966
2/7/2018	1449	1460.98999	1415.150024	1416.780029
2/8/2018	1429.680054	1433.75	1349.939941	1350.5
2/9/2018	1373.48999	1383.5	1265.930054	1339.599976
2/12/2018	1364.670044	1393.810059	1344.01001	1386.22998
2/13/2018	1385.930054	1419.719971	1383.530029	1414.51001
2/14/2018	1406.25	1452.060059	1403.359985	1451.050049
2/15/2018	1466.890015	1468.939941	1436.839966	1461.76001
2/16/2018	1457.369995	1465.800049	1446.560059	1448.689941
2/20/2018	1446.48999	1488.77002	1446.48999	1468.349976
2/21/2018	1485	1503.48999	1478.920044	1482.920044
2/22/2018	1495.359985	1502.540039	1475.76001	1485.339966
2/23/2018	1495.339966	1500	1486.5	1500
2/26/2018	1509.199951	1522.839966	1507	1521.949951
2/27/2018	1524.5	1526.780029	1507.209961	1511.97998
2/28/2018	1519.51001	1528.699951	1512	1512.449951
3/1/2018	1513.599976	1518.48999	1465	1493.449951
3/2/2018	1469.099976	1501.050049	1455.01001	1500.25
3/5/2018	1494.23999	1525.380005	1481	1523.609985
3/6/2018	1533.199951	1542.130005	1528	1537.640015
3/7/2018	1526.52002	1545.900024	1522.51001	1545
3/8/2018	1550	1554.880005	1545.25	1551.859985
3/9/2018	1563.5	1578.939941	1559.079956	1578.890015
3/12/2018	1592.599976	1605.329956	1586.699951	1598.390015
3/13/2018	1615.959961	1617.540039	1578.01001	1588.180054
3/14/2018	1597	1606.439941	1590.890015	1591
3/15/2018	1595	1596.910034	1578.109985	1582.319946
3/16/2018	1583.449951	1589.439941	1567.5	1571.680054
3/19/2018	1554.530029	1561.660034	1525.349976	1544.930054
