Date	Open	High	Low	Close
12/20/2017	187.940002	189.110001	185.259995	188.820007
12/21/2017	189.440002	190.949997	187.580002	188.619995
12/22/2017	188.330002	190.949997	186.800003	189.940002
12/26/2017	189.779999	189.940002	186.399994	187.759995
12/27/2017	187.800003	188.100006	185.220001	186.240005
12/28/2017	187.179993	194.490005	186.850006	192.710007
12/29/2017	192.509995	193.949997	191.220001	191.960007
1/2/2018	196.100006	201.649994	195.419998	201.070007
1/3/2018	202.050003	206.210007	201.5	205.050003
1/4/2018	206.199997	207.050003	204	205.630005
1/5/2018	207.25	210.020004	205.589996	209.990005
1/8/2018	210.020004	212.5	208.440002	212.050003
1/9/2018	212.110001	212.979996	208.589996	209.309998
1/10/2018	207.570007	213.639999	206.910004	212.520004
1/11/2018	214.289993	217.75	213.350006	217.240005
1/12/2018	217.179993	222.550003	216	221.229996
1/16/2018	224.240005	226.070007	217.199997	221.529999
1/17/2018	221	221.149994	216.320007	217.5
1/18/2018	220.339996	220.580002	216.550003	220.330002
1/19/2018	222.75	223.490005	218.5	220.460007
1/22/2018	222	227.789993	221.199997	227.580002
1/23/2018	255.050003	257.709991	248.020004	250.289993
1/24/2018	250.880005	261.709991	249.309998	261.299988
1/25/2018	263	272.299988	260.230011	269.700012
1/26/2018	271.48999	274.600006	268.76001	274.600006
1/29/2018	274.200012	286.809998	273.920013	284.589996
1/30/2018	277	282.730011	272.700012	278.799988
1/31/2018	281.940002	282.290009	269.579987	270.299988
2/1/2018	266.410004	271.950012	263.380005	265.070007
2/2/2018	263	270.619995	262.709991	267.429993
2/5/2018	262	267.899994	250.029999	254.259995
2/6/2018	247.699997	266.700012	245	265.720001
2/7/2018	266.579987	272.450012	264.329987	264.559998
2/8/2018	267.079987	267.619995	250	250.100006
2/9/2018	253.850006	255.800003	236.110001	249.470001
2/12/2018	252.139999	259.149994	249	257.950012
2/13/2018	257.290009	261.410004	254.699997	258.269989
2/14/2018	260.470001	269.880005	260.329987	266
2/15/2018	270.029999	280.5	267.630005	280.269989
2/16/2018	278.730011	281.959991	275.690002	278.519989
2/20/2018	277.73999	285.809998	276.609985	278.549988
2/21/2018	282.070007	286.640015	280.01001	281.040009
2/22/2018	283.880005	284.5	274.450012	278.140015
2/23/2018	281	286	277.809998	285.929993
2/26/2018	288.75	295.649994	287.01001	294.160004
2/27/2018	294.769989	297.359985	290.589996	290.609985
2/28/2018	293.100006	295.75	290.779999	291.380005
3/1/2018	292.75	295.25	283.829987	290.390015
3/2/2018	284.649994	301.179993	283.230011	301.049988
3/5/2018	302.850006	316.910004	297.600006	315
3/6/2018	319.880005	325.790009	316.5	325.220001
3/7/2018	320	323.73999	314.549988	321.160004
3/8/2018	322.200012	322.920013	314.130005	317
3/9/2018	321.329987	331.440002	320.230011	331.440002
3/12/2018	333.559998	333.980011	318.600006	321.299988
3/13/2018	323.869995	325.839996	313.279999	315.880005
3/14/2018	318.160004	323.880005	317.700012	321.549988
3/15/2018	323.170013	323.399994	318.140015	321.089996
3/16/2018	321.420013	324.109985	318.369995	318.450012
3/19/2018	315.799988	317	307.339996	313.480011
