Date	Open	High	Low	Close
12/20/2017	332.690002	333.100006	325.040009	328.980011
12/21/2017	329.589996	333.73999	327.209991	331.660004
12/22/2017	329.51001	330.920013	324.820007	325.200012
12/26/2017	323.829987	323.940002	316.579987	317.290009
12/27/2017	316	317.679993	310.75	311.640015
12/28/2017	311.75	315.820007	309.540009	315.359985
12/29/2017	316.179993	316.410004	310	311.350006
1/2/2018	312	322.109985	311	320.529999
1/3/2018	321	325.25	315.549988	317.25
1/4/2018	312.869995	318.549988	305.679993	314.619995
1/5/2018	316.619995	317.23999	312	316.579987
1/8/2018	316	337.019989	315.5	336.410004
1/9/2018	335.160004	338.799988	327.399994	333.690002
1/10/2018	332.200012	337	330	334.799988
1/11/2018	335.23999	344.809998	333.26001	337.950012
1/12/2018	338.630005	340.410004	333.670013	336.220001
1/16/2018	337.540009	345	334.799988	340.059998
1/17/2018	340.470001	349	339.75	347.160004
1/18/2018	345.670013	352.299988	343.73999	344.570007
1/19/2018	345	350.589996	342.600006	350.019989
1/22/2018	349.399994	357.829987	349.200012	351.559998
1/23/2018	360	360.5	351	352.790009
1/24/2018	354.579987	354.75	343.519989	345.890015
1/25/2018	348.269989	349.200012	336.399994	337.640015
1/26/2018	341.5	344	335.709991	342.850006
1/29/2018	339.850006	350.850006	338.279999	349.529999
1/30/2018	345.140015	348.269989	342.170013	345.820007
1/31/2018	347.51001	356.190002	345.190002	354.309998
2/1/2018	351	359.660004	348.630005	349.25
2/2/2018	348.440002	351.950012	340.51001	343.75
2/5/2018	337.970001	344.470001	333	333.130005
2/6/2018	325.209991	336.220001	323.5	333.970001
2/7/2018	338.98999	346	335.660004	345
2/8/2018	343.309998	348.619995	314.600006	315.230011
2/9/2018	319.929993	320.980011	294.76001	310.420013
2/12/2018	316.130005	318.079987	306.25	315.730011
2/13/2018	315.019989	324.190002	312.51001	323.660004
2/14/2018	320.839996	326.170013	318.519989	322.309998
2/15/2018	324.5	334.119995	322.399994	334.070007
2/16/2018	332.5	343.119995	331.640015	335.48999
2/20/2018	334.470001	340.839996	331.5	334.769989
2/21/2018	336.029999	339.690002	333.170013	333.299988
2/22/2018	335.529999	347.440002	334.75	346.170013
2/23/2018	347.829987	354.98999	347.100006	352.049988
2/26/2018	353.5	359	352.359985	357.420013
2/27/2018	356.25	359.98999	350.01001	350.98999
2/28/2018	352.570007	355.23999	342.220001	343.059998
3/1/2018	345.01001	348.670013	330.070007	330.929993
3/2/2018	326.980011	335.220001	322.970001	335.119995
3/5/2018	332.390015	337.75	329.290009	333.350006
3/6/2018	333.75	336.369995	327.029999	328.200012
3/7/2018	325.440002	332.5	321.73999	332.299988
3/8/2018	332.859985	333.299988	326.269989	329.100006
3/9/2018	324.100006	328.48999	322.369995	327.170013
3/12/2018	328.609985	347.209991	326.5	345.51001
3/13/2018	328.609985	347.209991	326.5	341.839996
3/14/2018	336.76001	339.809998	323.929993	326.630005
3/15/2018	329.380005	332.850006	321.100006	325.600006
3/16/2018	322.929993	327.399994	319.070007	321.350006
3/19/2018	316.5	320.75	309.670013	313.559998
